Unnamed: 0,COURSE,UPC Code and Acronyms,Municipality_Course,Postal Code Course,Total Course
0,22-23,200 FME,Abrera,8034.0,1.0
1,22-23,200 FME,Alella,8328.0,2.0
2,22-23,200 FME,Alicante,3007.0,1.0
3,22-23,200 FME,Ametlla de,8480.0,1.0
4,22-23,200 FME,Arenys de ,8358.0,1.0
5,22-23,200 FME,Argentona,8310.0,2.0
6,22-23,200 FME,Badalona,8912.0,1.0
7,22-23,200 FME,Badalona,8914.0,2.0
8,22-23,200 FME,Badalona,8915.0,1.0
9,22-23,200 FME,Badalona,8917.0,3.0
10,22-23,200 FME,Barberà de,8210.0,1.0
11,22-23,200 FME,Barcelona,8001.0,20.0
12,22-23,200 FME,Barcelona,8004.0,1.0
13,22-23,200 FME,Barcelona,8005.0,3.0
14,22-23,200 FME,Barcelona,8006.0,4.0
15,22-23,200 FME,Barcelona,8007.0,1.0
16,22-23,200 FME,Barcelona,8008.0,2.0
17,22-23,200 FME,Barcelona,8009.0,1.0
18,22-23,200 FME,Barcelona,8010.0,1.0
19,22-23,200 FME,Barcelona,8011.0,5.0
20,22-23,200 FME,Barcelona,8012.0,10.0
21,22-23,200 FME,Barcelona,8013.0,8.0
22,22-23,200 FME,Barcelona,8014.0,12.0
23,22-23,200 FME,Barcelona,8015.0,10.0
24,22-23,200 FME,Barcelona,8016.0,1.0
25,22-23,200 FME,Barcelona,8017.0,6.0
26,22-23,200 FME,Barcelona,8018.0,6.0
27,22-23,200 FME,Barcelona,8019.0,2.0
28,22-23,200 FME,Barcelona,8020.0,3.0
29,22-23,200 FME,Barcelona,8021.0,6.0
30,22-23,200 FME,Barcelona,8022.0,4.0
31,22-23,200 FME,Barcelona,8023.0,8.0
32,22-23,200 FME,Barcelona,8024.0,5.0
33,22-23,200 FME,Barcelona,8025.0,6.0
34,22-23,200 FME,Barcelona,8026.0,4.0
35,22-23,200 FME,Barcelona,8027.0,8.0
36,22-23,200 FME,Barcelona,8028.0,47.0
37,22-23,200 FME,Barcelona,8029.0,15.0
38,22-23,200 FME,Barcelona,8030.0,1.0
39,22-23,200 FME,Barcelona,8031.0,3.0
40,22-23,200 FME,Barcelona,8032.0,2.0
41,22-23,200 FME,Barcelona,8033.0,1.0
42,22-23,200 FME,Barcelona,8034.0,12.0
43,22-23,200 FME,Barcelona,8035.0,1.0
44,22-23,200 FME,Barcelona,8036.0,4.0
45,22-23,200 FME,Barcelona,8037.0,2.0
