,Unnamed: 0,Answer ID,Which of the following options do you identify with most?,Select the center where you study:,"The subjects you are currently taking, for the most part, correspond to which year?",How many days per week do you usually come to the university?,Please indicate the postal code from where you usually start your trip to the university:,"Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 1]","Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 2]","Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 3]",Do you take the same route for coming and going?,"Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 1]","Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 2]","Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 3]",Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the fastest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the cheapest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the most comfortable],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the only option],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It has a lower environmental impact],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the healthiest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [I need the private vehicle for other trips],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [Other],MitjaPersones
0,0,11,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8302.0,Bus,FGC,On foot,No,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,1.3333333333333333
1,1,12,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,3,8290.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
2,2,16,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8397.0,Combustion or electric motorcycle with non-renewable source charging,Renfe,Underground,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,1,0,0,DATATHON,1.3333333333333333
14,14,66,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Second,5,8902.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,0,0,0,DATATHON,2.0
16,16,68,Woman,School of Architecture of Vallès (ETSAV),Third,5,8186.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
17,17,70,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,4,8018.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
54,54,174,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,3,8950.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
63,63,197,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Third,5,8850.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
66,66,204,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,6,8022.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
75,75,223,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),First,4,8184.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
77,77,225,Man,Barcelona School of Informatics (FIB),Third,4,8014.0,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
86,86,242,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8192.0,On foot,Taxi,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,1.3333333333333333
88,88,250,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Third,5,8860.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,1,0,0,DATATHON,2.0
90,90,253,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,5,8840.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",FGC,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,0,0,0,DATATHON,1.5
91,91,254,Woman,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,3,8290.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Renfe,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,0,0,0,DATATHON,1.3333333333333333
93,93,263,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,4,8242.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,0,0,1,DATATHON,2.0
94,94,264,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,2,8150.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
103,103,284,Man,Faculty of Nautical of Barcelona (FNB),Second,2,8950.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,1,0,0,DATATHON,2.0
108,108,292,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,3,8030.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
127,127,336,Man,School of Engineering of Barcelona East (EEBE),Fourth,4,8339.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
130,130,339,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,1,8015.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
145,145,374,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),First,4,8757.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,DATATHON,No,On foot,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",1,0,0,0,0,0,1,DATATHON,1.1666666666666665
153,153,386,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,4,8202.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
162,162,403,Man,Faculty of Nautical of Barcelona (FNB),First,5,8980.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,No,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,1,0,1,0,0,0,0,DATATHON,2.0
167,167,413,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,3,8033.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
